Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
NFO,76458,25,NIFTYNXT50,NIFTYNXT5029SEP26P81600,29-SEP-2026,OPTIDX,PE,81600,0.05,
NFO,76457,25,NIFTYNXT50,NIFTYNXT5029SEP26C81600,29-SEP-2026,OPTIDX,CE,81600,0.05,
NFO,76456,25,NIFTYNXT50,NIFTYNXT5029SEP26P81500,29-SEP-2026,OPTIDX,PE,81500,0.05,
NFO,76453,25,NIFTYNXT50,NIFTYNXT5029SEP26C81500,29-SEP-2026,OPTIDX,CE,81500,0.05,
NFO,76451,25,NIFTYNXT50,NIFTYNXT5029SEP26P81400,29-SEP-2026,OPTIDX,PE,81400,0.05,
NFO,76446,30,BANKNIFTY,BANKNIFTY30MAR27C72000,30-MAR-2027,OPTIDX,CE,72000,0.05,
NFO,76445,30,BANKNIFTY,BANKNIFTY30MAR27P70500,30-MAR-2027,OPTIDX,PE,70500,0.05,
NFO,76444,30,BANKNIFTY,BANKNIFTY30MAR27C70500,30-MAR-2027,OPTIDX,CE,70500,0.05,
NFO,76443,30,BANKNIFTY,BANKNIFTY30MAR27P69000,30-MAR-2027,OPTIDX,PE,69000,0.05,
NFO,76440,30,BANKNIFTY,BANKNIFTY30MAR27C69000,30-MAR-2027,OPTIDX,CE,69000,0.05,
NFO,76439,30,BANKNIFTY,BANKNIFTY30MAR27P67500,30-MAR-2027,OPTIDX,PE,67500,0.05,
NFO,76435,30,BANKNIFTY,BANKNIFTY30MAR27C67500,30-MAR-2027,OPTIDX,CE,67500,0.05,
NFO,76434,30,BANKNIFTY,BANKNIFTY30MAR27P66000,30-MAR-2027,OPTIDX,PE,66000,0.05,
NFO,76433,30,BANKNIFTY,BANKNIFTY30MAR27C66000,30-MAR-2027,OPTIDX,CE,66000,0.05,
NFO,76432,30,BANKNIFTY,BANKNIFTY30MAR27P64500,30-MAR-2027,OPTIDX,PE,64500,0.05,
NFO,76429,30,BANKNIFTY,BANKNIFTY30MAR27C64500,30-MAR-2027,OPTIDX,CE,64500,0.05,
